Internal Quality Attribute,NFR Type,Negative Refactorings,Neutral Refactorings,Positive Refactorings
Complexity,Maintainability,36,40,72
Complexity,Security,31,7,31
Complexity,Performance,21,24,80
Complexity,Robustness,88,64,168
Cohesion,Maintainability,36,67,45
Cohesion,Security,7,21,42
Cohesion,Performance,28,49,49
Cohesion,Robustness,56,136,128
Coupling,Maintainability,58,36,54
Coupling,Security,24,24,21
Coupling,Performance,56,38,31
Coupling,Robustness,80,120,120
Size,Maintainability,54,22,72
Size,Security,31,7,31
Size,Performance,56,10,59
Size,Robustness,120,24,176
